condition,deskew,expected_sn,raw_text,final_text,format_ok,expected_match,ocr_exact,status,reasons
low_contrast,no,0637145699424,'0637145699424\n',0637145699424,True,True,True,OK,
blur,no,0637145699424,'',,False,False,False,NG,NG_OCR_EMPTY|NG_FORMAT|NG_EXPECTED_MISMATCH
tilt,no,0637145699424,'9728\n',9728,False,False,False,NG,NG_FORMAT|NG_EXPECTED_MISMATCH
tilt,yes,0637145699424,'',,False,False,False,NG,NG_OCR_EMPTY|NG_FORMAT|NG_EXPECTED_MISMATCH
glare,no,0637145699424,'',,False,False,False,NG,NG_OCR_EMPTY|NG_FORMAT|NG_EXPECTED_MISMATCH
